"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0,1,1,0,0.666666666666667,0.333333333333333,1,4,0,1,1,0
0,1,1,0,0.636363636363636,0.363636363636364,1,7,0,1,1,0
0,1,1,0,0.428571428571429,0.571428571428571,1,3,0,1,1,0
0,0.714285714285714,0.714285714285714,2,0.416666666666667,0.583333333333333,1,5,0,1,1,0
0,0.625,0.625,3,0.333333333333333,0.666666666666667,1,4,0,1,1,0
0.142857142857143,0.75,0.857142857142857,2,0.555555555555556,0.333333333333333,0.571428571428571,8,0.142857142857143,0.75,0.857142857142857,2
0,1,1,0,0.833333333333333,0.166666666666667,1,5,0,1,1,0
0.333333333333333,0.333333333333333,0.4,4,0.666666666666667,0.272727272727273,0.6,8,0.2,0.666666666666667,0.8,2
0,1,1,0,0.555555555555556,0.444444444444444,1,5,0,1,1,0
0,1,1,0,0.833333333333333,0.166666666666667,1,5,0,1,1,0
0,1,1,0,0.833333333333333,0.166666666666667,1,5,0,1,1,0
0,1,1,0,0.571428571428571,0.428571428571429,1,4,0,1,1,0
0,0.666666666666667,0.666666666666667,3,0.181818181818182,0.818181818181818,1,2,0.222222222222222,0.636363636363636,0.777777777777778,4
0,1,1,0,0.285714285714286,0.714285714285714,1,2,0,1,1,0
0,0.666666666666667,0.666666666666667,3,0.357142857142857,0.642857142857143,1,5,0,1,1,0
0,0.5,0.5,3,0.5,0.5,1,6,0,1,1,0
0,1,1,0,0.833333333333333,0.166666666666667,1,5,0,1,1,0
0,1,1,0,0.714285714285714,0.285714285714286,1,5,0,1,1,0
0,1,1,0,0.333333333333333,0.666666666666667,1,4,0,1,1,0
0,1,1,0,0.285714285714286,0.714285714285714,1,2,0,1,1,0
0,0.75,0.75,2,0.3,0.636363636363636,0.875,4,0,1,1,0
0,1,1,0,0.5,0.5,1,3,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.625,0.375,1,5,0,1,1,0
0,1,1,0,0.714285714285714,0.285714285714286,1,5,0,1,1,0
0,1,1,0,0.833333333333333,0.166666666666667,1,5,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.5,0.5,1,3,0,0.666666666666667,0.666666666666667,1
0,0.666666666666667,0.666666666666667,2,0.428571428571429,0.444444444444444,0.666666666666667,5,0,1,1,0
0,0.833333333333333,0.833333333333333,1,0.25,0.75,1,2,0,1,1,0
0,1,1,0,0.666666666666667,0.333333333333333,1,6,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.571428571428571,0.428571428571429,1,4,0,0.666666666666667,0.666666666666667,1
0,1,1,0,0.666666666666667,0.333333333333333,1,6,0,1,1,0
0,1,1,0,0.625,0.375,1,5,0,1,1,0
0,0.285714285714286,0.285714285714286,5,0.692307692307692,0.25,0.571428571428571,12,0,1,1,0
0,1,1,0,0.4,0.6,1,4,0,1,1,0
0,0.5,0.5,1,0.666666666666667,0.333333333333333,1,4,0,1,1,0
0,0.714285714285714,0.714285714285714,2,0.428571428571429,0.4,0.571428571428571,6,0,0.714285714285714,0.714285714285714,2
0,1,1,0,0.444444444444444,0.555555555555556,1,4,0,1,1,0
0,0.8,0.8,1,0.444444444444444,0.555555555555556,1,4,0,1,1,0
0,1,1,0,0.5,0.5,1,3,0,1,1,0
0,1,1,0,0.8,0.166666666666667,0.5,10,0,1,1,0
0,1,1,0,0.375,0.625,1,3,0,1,1,0
0,0.6,0.6,2,0.5,0.5,1,5,0,1,1,0
0,0.555555555555556,0.555555555555556,4,0.25,0.75,1,3,0,0.777777777777778,0.777777777777778,2
0,0.8,0.8,1,0.285714285714286,0.714285714285714,1,2,0,1,1,0
0,0.6,0.6,2,0.375,0.625,1,3,0,0.8,0.8,1
0,1,1,0,0.428571428571429,0.571428571428571,1,3,0,1,1,0
0,1,1,0,0.833333333333333,0.166666666666667,1,5,0,1,1,0
0,0.333333333333333,0.333333333333333,2,0.625,0.375,1,5,0,1,1,0
0,0.8,0.8,1,0.375,0.625,1,3,0,1,1,0
0,1,1,0,0.625,0.375,1,5,0,1,1,0
0,0.571428571428571,0.571428571428571,3,0.583333333333333,0.357142857142857,0.714285714285714,9,0,1,1,0
0,0.75,0.75,1,0.5,0.5,1,4,0,1,1,0
0,1,1,0,0.833333333333333,0.166666666666667,1,5,0,1,1,0
0,1,1,0,0.375,0.625,1,3,0,1,1,0
0,0.777777777777778,0.777777777777778,2,0.333333333333333,0.615384615384615,0.888888888888889,5,0.1,0.9,1,1
0,0.8,0.8,1,0.444444444444444,0.555555555555556,1,4,0,1,1,0
0,0.833333333333333,0.833333333333333,1,0.444444444444444,0.5,0.833333333333333,5,0,0.833333333333333,0.833333333333333,1
0,1,1,0,0.833333333333333,0.166666666666667,1,5,0,1,1,0
0,0.833333333333333,0.833333333333333,1,0.4,0.6,1,4,0,1,1,0
0,0.75,0.75,2,0.111111111111111,0.888888888888889,1,1,0,0.75,0.75,2
0,1,1,0,0.571428571428571,0.428571428571429,1,4,0,1,1,0
0,0.8,0.8,1,0.444444444444444,0.555555555555556,1,4,0,1,1,0
0,1,1,0,0.5,0.5,1,4,0,1,1,0
0,0.666666666666667,0.666666666666667,2,0.4,0.6,1,4,0,1,1,0
0,0.75,0.75,1,0.5,0.5,1,4,0,1,1,0
0,1,1,0,0.555555555555556,0.444444444444444,1,5,0,1,1,0
0.2,0.666666666666667,0.8,2,0.555555555555556,0.4,0.8,6,0.2,0.666666666666667,0.8,2
0,1,1,0,0.6,0.4,1,3,0,1,1,0
0.2,0.571428571428571,0.666666666666667,3,0.4,0.6,1,4,0.166666666666667,0.714285714285714,0.833333333333333,2
0,1,1,0,0.375,0.625,1,3,0,1,1,0
0,0.75,0.75,1,0.625,0.333333333333333,0.75,6,0,1,1,0
0,1,1,0,0.2,0.8,1,2,0,1,1,0
0.2,0.4,0.444444444444444,6,0.307692307692308,0.692307692307692,1,4,0.1,0.9,1,1
0,1,1,0,0.666666666666667,0.333333333333333,1,4,0,1,1,0
0,1,1,0,0.555555555555556,0.444444444444444,1,5,0,1,1,0
0,0.75,0.75,1,0.5,0.5,1,4,0,1,1,0
0,0.75,0.75,1,0.5,0.5,1,4,0,1,1,0
0,1,1,0,0.5,0.5,1,4,0,1,1,0
0,1,1,0,0.714285714285714,0.285714285714286,1,5,0,1,1,0
0,0.6,0.6,2,0.375,0.625,1,3,0,0.8,0.8,1
0,1,1,0,0.555555555555556,0.444444444444444,1,5,0,1,1,0
0,0.857142857142857,0.857142857142857,1,0.363636363636364,0.636363636363636,1,4,0,0.857142857142857,0.857142857142857,1
0,1,1,0,0.333333333333333,0.666666666666667,1,3,0,1,1,0
0,1,1,0,0.5,0.454545454545455,0.833333333333333,6,0.142857142857143,0.857142857142857,1,1
0,0,0,2,1,0,0,9,0,1,1,0
0,1,1,0,0.333333333333333,0.666666666666667,1,2,0,1,1,0
0,0.428571428571429,0.428571428571429,4,0.363636363636364,0.636363636363636,1,4,0,1,1,0
0,1,1,0,0.444444444444444,0.555555555555556,1,4,0,1,1,0
0,1,1,0,0.25,0.75,1,2,0,1,1,0
0,1,1,0,0.6,0.4,1,3,0,1,1,0
0,0.833333333333333,0.833333333333333,1,0.333333333333333,0.666666666666667,1,3,0,1,1,0
0,0.666666666666667,0.666666666666667,1,0.5,0.5,1,3,0,0.666666666666667,0.666666666666667,1
0,0.833333333333333,0.833333333333333,1,0.538461538461538,0.461538461538462,1,7,0,1,1,0
0,1,1,0,0.4,0.6,1,4,0,1,1,0
