"","FDR","JCI","TPR","SHD"
"(H,C,n=500)",0,1,1,0
"(H,C,n=400)",0,0.99998,0.99998,0.002
"(H,C,n=300)",0,0.99998,0.99998,0.002
"(H,D,n=500)",0,0.99999,0.99999,0.001
"(H,D,n=400)",0,0.99998,0.99998,0.002
"(H,D,n=300)",0,0.99999,0.99999,0.001
"(R,C,n=500)",0.000111111111111111,0.985888888888889,0.986,0.001
"(R,C,n=400)",0,0.986,0.986,0
"(R,C,n=300)",0.000181818181818182,0.98575,0.9859,0.003
"(R,D,n=500)",0,0.986,0.986,0
"(R,D,n=400)",0.000236111111111111,0.985763888888889,0.986,0.002
"(R,D,n=300)",0,0.986,0.986,0
